## Ore Dictionary Info                      ##
##############################################
## In the form:                             ##
## <ore dictionary entry>                   ##
##     <item id registered> - <item damage> ##
##     etc...                               ##
##############################################
artisansAthame
artisanworktables:artisans_athame_wood - any
artisanworktables:artisans_athame_stone - any
artisanworktables:artisans_athame_iron - any
artisanworktables:artisans_athame_gold - any
artisanworktables:artisans_athame_diamond - any
artisanworktables:artisans_athame_flint - any
artisanworktables:artisans_athame_bone - any
artisanworktables:artisans_athame_aluminum - any
artisanworktables:artisans_athame_bronze - any
artisanworktables:artisans_athame_constantan - any
artisanworktables:artisans_athame_copper - any
artisanworktables:artisans_athame_electrum - any
artisanworktables:artisans_athame_invar - any
artisanworktables:artisans_athame_lead - any
artisanworktables:artisans_athame_nickel - any
artisanworktables:artisans_athame_platinum - any
artisanworktables:artisans_athame_silver - any
artisanworktables:artisans_athame_steel - any
artisanworktables:artisans_athame_tin - any
artisanworktables:artisans_athame_osmium - any
artisanworktables:artisans_athame_boron - any
artisanworktables:artisans_athame_toughalloy - any
artisanworktables:artisans_athame_hardcarbon - any
artisanworktables:artisans_athame_boronnitride - any


artisansBeaker
artisanworktables:artisans_beaker_wood - any
artisanworktables:artisans_beaker_stone - any
artisanworktables:artisans_beaker_iron - any
artisanworktables:artisans_beaker_gold - any
artisanworktables:artisans_beaker_diamond - any
artisanworktables:artisans_beaker_flint - any
artisanworktables:artisans_beaker_bone - any
artisanworktables:artisans_beaker_aluminum - any
artisanworktables:artisans_beaker_bronze - any
artisanworktables:artisans_beaker_constantan - any
artisanworktables:artisans_beaker_copper - any
artisanworktables:artisans_beaker_electrum - any
artisanworktables:artisans_beaker_invar - any
artisanworktables:artisans_beaker_lead - any
artisanworktables:artisans_beaker_nickel - any
artisanworktables:artisans_beaker_platinum - any
artisanworktables:artisans_beaker_silver - any
artisanworktables:artisans_beaker_steel - any
artisanworktables:artisans_beaker_tin - any
artisanworktables:artisans_beaker_osmium - any
artisanworktables:artisans_beaker_boron - any
artisanworktables:artisans_beaker_toughalloy - any
artisanworktables:artisans_beaker_hardcarbon - any
artisanworktables:artisans_beaker_boronnitride - any


artisansBurner
artisanworktables:artisans_burner_wood - any
artisanworktables:artisans_burner_stone - any
artisanworktables:artisans_burner_iron - any
artisanworktables:artisans_burner_gold - any
artisanworktables:artisans_burner_diamond - any
artisanworktables:artisans_burner_flint - any
artisanworktables:artisans_burner_bone - any
artisanworktables:artisans_burner_aluminum - any
artisanworktables:artisans_burner_bronze - any
artisanworktables:artisans_burner_constantan - any
artisanworktables:artisans_burner_copper - any
artisanworktables:artisans_burner_electrum - any
artisanworktables:artisans_burner_invar - any
artisanworktables:artisans_burner_lead - any
artisanworktables:artisans_burner_nickel - any
artisanworktables:artisans_burner_platinum - any
artisanworktables:artisans_burner_silver - any
artisanworktables:artisans_burner_steel - any
artisanworktables:artisans_burner_tin - any
artisanworktables:artisans_burner_osmium - any
artisanworktables:artisans_burner_boron - any
artisanworktables:artisans_burner_toughalloy - any
artisanworktables:artisans_burner_hardcarbon - any
artisanworktables:artisans_burner_boronnitride - any


artisansCarver
artisanworktables:artisans_carver_wood - any
artisanworktables:artisans_carver_stone - any
artisanworktables:artisans_carver_iron - any
artisanworktables:artisans_carver_gold - any
artisanworktables:artisans_carver_diamond - any
artisanworktables:artisans_carver_flint - any
artisanworktables:artisans_carver_bone - any
artisanworktables:artisans_carver_aluminum - any
artisanworktables:artisans_carver_bronze - any
artisanworktables:artisans_carver_constantan - any
artisanworktables:artisans_carver_copper - any
artisanworktables:artisans_carver_electrum - any
artisanworktables:artisans_carver_invar - any
artisanworktables:artisans_carver_lead - any
artisanworktables:artisans_carver_nickel - any
artisanworktables:artisans_carver_platinum - any
artisanworktables:artisans_carver_silver - any
artisanworktables:artisans_carver_steel - any
artisanworktables:artisans_carver_tin - any
artisanworktables:artisans_carver_osmium - any
artisanworktables:artisans_carver_boron - any
artisanworktables:artisans_carver_toughalloy - any
artisanworktables:artisans_carver_hardcarbon - any
artisanworktables:artisans_carver_boronnitride - any


artisansChisel
artisanworktables:artisans_chisel_wood - any
artisanworktables:artisans_chisel_stone - any
artisanworktables:artisans_chisel_iron - any
artisanworktables:artisans_chisel_gold - any
artisanworktables:artisans_chisel_diamond - any
artisanworktables:artisans_chisel_flint - any
artisanworktables:artisans_chisel_bone - any
artisanworktables:artisans_chisel_aluminum - any
artisanworktables:artisans_chisel_bronze - any
artisanworktables:artisans_chisel_constantan - any
artisanworktables:artisans_chisel_copper - any
artisanworktables:artisans_chisel_electrum - any
artisanworktables:artisans_chisel_invar - any
artisanworktables:artisans_chisel_lead - any
artisanworktables:artisans_chisel_nickel - any
artisanworktables:artisans_chisel_platinum - any
artisanworktables:artisans_chisel_silver - any
artisanworktables:artisans_chisel_steel - any
artisanworktables:artisans_chisel_tin - any
artisanworktables:artisans_chisel_osmium - any
artisanworktables:artisans_chisel_boron - any
artisanworktables:artisans_chisel_toughalloy - any
artisanworktables:artisans_chisel_hardcarbon - any
artisanworktables:artisans_chisel_boronnitride - any


artisansCompass
artisanworktables:artisans_compass_wood - any
artisanworktables:artisans_compass_stone - any
artisanworktables:artisans_compass_iron - any
artisanworktables:artisans_compass_gold - any
artisanworktables:artisans_compass_diamond - any
artisanworktables:artisans_compass_flint - any
artisanworktables:artisans_compass_bone - any
artisanworktables:artisans_compass_aluminum - any
artisanworktables:artisans_compass_bronze - any
artisanworktables:artisans_compass_constantan - any
artisanworktables:artisans_compass_copper - any
artisanworktables:artisans_compass_electrum - any
artisanworktables:artisans_compass_invar - any
artisanworktables:artisans_compass_lead - any
artisanworktables:artisans_compass_nickel - any
artisanworktables:artisans_compass_platinum - any
artisanworktables:artisans_compass_silver - any
artisanworktables:artisans_compass_steel - any
artisanworktables:artisans_compass_tin - any
artisanworktables:artisans_compass_osmium - any
artisanworktables:artisans_compass_boron - any
artisanworktables:artisans_compass_toughalloy - any
artisanworktables:artisans_compass_hardcarbon - any
artisanworktables:artisans_compass_boronnitride - any


artisansCutters
artisanworktables:artisans_cutters_wood - any
artisanworktables:artisans_cutters_stone - any
artisanworktables:artisans_cutters_iron - any
artisanworktables:artisans_cutters_gold - any
artisanworktables:artisans_cutters_diamond - any
artisanworktables:artisans_cutters_flint - any
artisanworktables:artisans_cutters_bone - any
artisanworktables:artisans_cutters_aluminum - any
artisanworktables:artisans_cutters_bronze - any
artisanworktables:artisans_cutters_constantan - any
artisanworktables:artisans_cutters_copper - any
artisanworktables:artisans_cutters_electrum - any
artisanworktables:artisans_cutters_invar - any
artisanworktables:artisans_cutters_lead - any
artisanworktables:artisans_cutters_nickel - any
artisanworktables:artisans_cutters_platinum - any
artisanworktables:artisans_cutters_silver - any
artisanworktables:artisans_cutters_steel - any
artisanworktables:artisans_cutters_tin - any
artisanworktables:artisans_cutters_osmium - any
artisanworktables:artisans_cutters_boron - any
artisanworktables:artisans_cutters_toughalloy - any
artisanworktables:artisans_cutters_hardcarbon - any
artisanworktables:artisans_cutters_boronnitride - any


artisansCuttingBoard
artisanworktables:artisans_cutting_board_wood - any
artisanworktables:artisans_cutting_board_stone - any
artisanworktables:artisans_cutting_board_iron - any
artisanworktables:artisans_cutting_board_gold - any
artisanworktables:artisans_cutting_board_diamond - any
artisanworktables:artisans_cutting_board_flint - any
artisanworktables:artisans_cutting_board_bone - any
artisanworktables:artisans_cutting_board_aluminum - any
artisanworktables:artisans_cutting_board_bronze - any
artisanworktables:artisans_cutting_board_constantan - any
artisanworktables:artisans_cutting_board_copper - any
artisanworktables:artisans_cutting_board_electrum - any
artisanworktables:artisans_cutting_board_invar - any
artisanworktables:artisans_cutting_board_lead - any
artisanworktables:artisans_cutting_board_nickel - any
artisanworktables:artisans_cutting_board_platinum - any
artisanworktables:artisans_cutting_board_silver - any
artisanworktables:artisans_cutting_board_steel - any
artisanworktables:artisans_cutting_board_tin - any
artisanworktables:artisans_cutting_board_osmium - any
artisanworktables:artisans_cutting_board_boron - any
artisanworktables:artisans_cutting_board_toughalloy - any
artisanworktables:artisans_cutting_board_hardcarbon - any
artisanworktables:artisans_cutting_board_boronnitride - any


artisansDriver
artisanworktables:artisans_driver_wood - any
artisanworktables:artisans_driver_stone - any
artisanworktables:artisans_driver_iron - any
artisanworktables:artisans_driver_gold - any
artisanworktables:artisans_driver_diamond - any
artisanworktables:artisans_driver_flint - any
artisanworktables:artisans_driver_bone - any
artisanworktables:artisans_driver_aluminum - any
artisanworktables:artisans_driver_bronze - any
artisanworktables:artisans_driver_constantan - any
artisanworktables:artisans_driver_copper - any
artisanworktables:artisans_driver_electrum - any
artisanworktables:artisans_driver_invar - any
artisanworktables:artisans_driver_lead - any
artisanworktables:artisans_driver_nickel - any
artisanworktables:artisans_driver_platinum - any
artisanworktables:artisans_driver_silver - any
artisanworktables:artisans_driver_steel - any
artisanworktables:artisans_driver_tin - any
artisanworktables:artisans_driver_osmium - any
artisanworktables:artisans_driver_boron - any
artisanworktables:artisans_driver_toughalloy - any
artisanworktables:artisans_driver_hardcarbon - any
artisanworktables:artisans_driver_boronnitride - any


artisansFile
artisanworktables:artisans_file_wood - any
artisanworktables:artisans_file_stone - any
artisanworktables:artisans_file_iron - any
artisanworktables:artisans_file_gold - any
artisanworktables:artisans_file_diamond - any
artisanworktables:artisans_file_flint - any
artisanworktables:artisans_file_bone - any
artisanworktables:artisans_file_aluminum - any
artisanworktables:artisans_file_bronze - any
artisanworktables:artisans_file_constantan - any
artisanworktables:artisans_file_copper - any
artisanworktables:artisans_file_electrum - any
artisanworktables:artisans_file_invar - any
artisanworktables:artisans_file_lead - any
artisanworktables:artisans_file_nickel - any
artisanworktables:artisans_file_platinum - any
artisanworktables:artisans_file_silver - any
artisanworktables:artisans_file_steel - any
artisanworktables:artisans_file_tin - any
artisanworktables:artisans_file_osmium - any
artisanworktables:artisans_file_boron - any
artisanworktables:artisans_file_toughalloy - any
artisanworktables:artisans_file_hardcarbon - any
artisanworktables:artisans_file_boronnitride - any


artisansFramingHammer
artisanworktables:artisans_framing_hammer_wood - any
artisanworktables:artisans_framing_hammer_stone - any
artisanworktables:artisans_framing_hammer_iron - any
artisanworktables:artisans_framing_hammer_gold - any
artisanworktables:artisans_framing_hammer_diamond - any
artisanworktables:artisans_framing_hammer_flint - any
artisanworktables:artisans_framing_hammer_bone - any
artisanworktables:artisans_framing_hammer_aluminum - any
artisanworktables:artisans_framing_hammer_bronze - any
artisanworktables:artisans_framing_hammer_constantan - any
artisanworktables:artisans_framing_hammer_copper - any
artisanworktables:artisans_framing_hammer_electrum - any
artisanworktables:artisans_framing_hammer_invar - any
artisanworktables:artisans_framing_hammer_lead - any
artisanworktables:artisans_framing_hammer_nickel - any
artisanworktables:artisans_framing_hammer_platinum - any
artisanworktables:artisans_framing_hammer_silver - any
artisanworktables:artisans_framing_hammer_steel - any
artisanworktables:artisans_framing_hammer_tin - any
artisanworktables:artisans_framing_hammer_osmium - any
artisanworktables:artisans_framing_hammer_boron - any
artisanworktables:artisans_framing_hammer_toughalloy - any
artisanworktables:artisans_framing_hammer_hardcarbon - any
artisanworktables:artisans_framing_hammer_boronnitride - any


artisansGemCutter
artisanworktables:artisans_gemcutter_wood - any
artisanworktables:artisans_gemcutter_stone - any
artisanworktables:artisans_gemcutter_iron - any
artisanworktables:artisans_gemcutter_gold - any
artisanworktables:artisans_gemcutter_diamond - any
artisanworktables:artisans_gemcutter_flint - any
artisanworktables:artisans_gemcutter_bone - any
artisanworktables:artisans_gemcutter_aluminum - any
artisanworktables:artisans_gemcutter_bronze - any
artisanworktables:artisans_gemcutter_constantan - any
artisanworktables:artisans_gemcutter_copper - any
artisanworktables:artisans_gemcutter_electrum - any
artisanworktables:artisans_gemcutter_invar - any
artisanworktables:artisans_gemcutter_lead - any
artisanworktables:artisans_gemcutter_nickel - any
artisanworktables:artisans_gemcutter_platinum - any
artisanworktables:artisans_gemcutter_silver - any
artisanworktables:artisans_gemcutter_steel - any
artisanworktables:artisans_gemcutter_tin - any
artisanworktables:artisans_gemcutter_osmium - any
artisanworktables:artisans_gemcutter_boron - any
artisanworktables:artisans_gemcutter_toughalloy - any
artisanworktables:artisans_gemcutter_hardcarbon - any
artisanworktables:artisans_gemcutter_boronnitride - any


artisansGrimoire
artisanworktables:artisans_grimoire_wood - any
artisanworktables:artisans_grimoire_stone - any
artisanworktables:artisans_grimoire_iron - any
artisanworktables:artisans_grimoire_gold - any
artisanworktables:artisans_grimoire_diamond - any
artisanworktables:artisans_grimoire_flint - any
artisanworktables:artisans_grimoire_bone - any
artisanworktables:artisans_grimoire_aluminum - any
artisanworktables:artisans_grimoire_bronze - any
artisanworktables:artisans_grimoire_constantan - any
artisanworktables:artisans_grimoire_copper - any
artisanworktables:artisans_grimoire_electrum - any
artisanworktables:artisans_grimoire_invar - any
artisanworktables:artisans_grimoire_lead - any
artisanworktables:artisans_grimoire_nickel - any
artisanworktables:artisans_grimoire_platinum - any
artisanworktables:artisans_grimoire_silver - any
artisanworktables:artisans_grimoire_steel - any
artisanworktables:artisans_grimoire_tin - any
artisanworktables:artisans_grimoire_osmium - any
artisanworktables:artisans_grimoire_boron - any
artisanworktables:artisans_grimoire_toughalloy - any
artisanworktables:artisans_grimoire_hardcarbon - any
artisanworktables:artisans_grimoire_boronnitride - any


artisansGroover
artisanworktables:artisans_groover_wood - any
artisanworktables:artisans_groover_stone - any
artisanworktables:artisans_groover_iron - any
artisanworktables:artisans_groover_gold - any
artisanworktables:artisans_groover_diamond - any
artisanworktables:artisans_groover_flint - any
artisanworktables:artisans_groover_bone - any
